,neg,neu,pos,compound
485,0.0,1.0,0.0,0.0
486,0.0,1.0,0.0,0.0
487,0.0,0.734,0.266,0.4404
488,0.0,0.676,0.324,0.34
489,0.0,0.674,0.326,0.4404
490,0.103,0.848,0.049,-0.296
491,0.0,1.0,0.0,0.0
492,0.0,0.795,0.205,0.2023
493,0.0,0.816,0.184,0.2023
494,0.0,1.0,0.0,0.0
495,0.0,1.0,0.0,0.0
496,0.0,0.816,0.184,0.2023
497,0.0,0.806,0.194,0.1139
498,0.0,0.784,0.216,0.296
499,0.0,1.0,0.0,0.0
500,0.0,1.0,0.0,0.0
501,0.0,1.0,0.0,0.0
502,0.0,0.816,0.184,0.2023
503,0.0,1.0,0.0,0.0
504,0.0,1.0,0.0,0.0
505,0.0,1.0,0.0,0.0
506,0.0,1.0,0.0,0.0
507,0.0,1.0,0.0,0.0
508,0.0,0.803,0.197,0.4019
509,0.238,0.762,0.0,-0.3612
510,0.0,1.0,0.0,0.0
511,0.0,1.0,0.0,0.0
512,0.0,1.0,0.0,0.0
513,0.0,1.0,0.0,0.0
514,0.0,1.0,0.0,0.0
515,0.0,0.738,0.262,0.4939
516,0.0,0.676,0.324,0.34
517,0.0,0.676,0.324,0.34
518,0.0,0.671,0.329,0.6553
519,0.0,1.0,0.0,0.0
520,0.0,1.0,0.0,0.0
521,0.0,0.676,0.324,0.34
522,0.0,0.745,0.255,0.34
523,0.0,1.0,0.0,0.0
524,0.0,0.673,0.327,0.5267
525,0.0,0.833,0.167,0.34
526,0.153,0.659,0.189,0.296
527,0.0,1.0,0.0,0.0
528,0.279,0.721,0.0,-0.4767
529,0.0,1.0,0.0,0.0
530,0.0,1.0,0.0,0.0
531,0.0,1.0,0.0,0.0
532,0.0,1.0,0.0,0.0
533,0.0,1.0,0.0,0.0
534,0.0,1.0,0.0,0.0
535,0.0,1.0,0.0,0.0
536,0.0,1.0,0.0,0.0
537,0.0,0.721,0.279,0.4767
538,0.244,0.756,0.0,-0.4404
539,0.0,0.802,0.198,0.4939
540,0.219,0.781,0.0,-0.4215
541,0.297,0.516,0.187,-0.1779
542,0.0,0.85,0.15,0.5267
